,ISIN,RIC,data,model,file,GSA
68,FR0000121972,SCHN.PA,FOB,CNN_LSTM,FR0000121972_FOB_CNN_LSTM,PENDING
69,FR0000121972,SCHN.PA,OHLCV_FOB,CNN,FR0000121972_OHLCV_FOB_CNN,PENDING
70,FR0000121972,SCHN.PA,OHLCV_FOB,LSTM,FR0000121972_OHLCV_FOB_LSTM,PENDING
71,FR0000121972,SCHN.PA,OHLCV_FOB,CNN_LSTM,FR0000121972_OHLCV_FOB_CNN_LSTM,PENDING
75,FR0000124141,VIE.PA,FOB,CNN,FR0000124141_FOB_CNN,PENDING
76,FR0000124141,VIE.PA,FOB,LSTM,FR0000124141_FOB_LSTM,PENDING
77,FR0000124141,VIE.PA,FOB,CNN_LSTM,FR0000124141_FOB_CNN_LSTM,PENDING
78,FR0000124141,VIE.PA,OHLCV_FOB,CNN,FR0000124141_OHLCV_FOB_CNN,PENDING
79,FR0000124141,VIE.PA,OHLCV_FOB,LSTM,FR0000124141_OHLCV_FOB_LSTM,PENDING
80,FR0000124141,VIE.PA,OHLCV_FOB,CNN_LSTM,FR0000124141_OHLCV_FOB_CNN_LSTM,PENDING
84,FR0000125007,SGOB.PA,FOB,CNN,FR0000125007_FOB_CNN,PENDING
85,FR0000125007,SGOB.PA,FOB,LSTM,FR0000125007_FOB_LSTM,PENDING
86,FR0000125007,SGOB.PA,FOB,CNN_LSTM,FR0000125007_FOB_CNN_LSTM,PENDING
87,FR0000125007,SGOB.PA,OHLCV_FOB,CNN,FR0000125007_OHLCV_FOB_CNN,PENDING
88,FR0000125007,SGOB.PA,OHLCV_FOB,LSTM,FR0000125007_OHLCV_FOB_LSTM,PENDING
89,FR0000125007,SGOB.PA,OHLCV_FOB,CNN_LSTM,FR0000125007_OHLCV_FOB_CNN_LSTM,PENDING
93,FR0000125486,SGEF.PA,FOB,CNN,FR0000125486_FOB_CNN,PENDING
94,FR0000125486,SGEF.PA,FOB,LSTM,FR0000125486_FOB_LSTM,PENDING
95,FR0000125486,SGEF.PA,FOB,CNN_LSTM,FR0000125486_FOB_CNN_LSTM,PENDING
96,FR0000125486,SGEF.PA,OHLCV_FOB,CNN,FR0000125486_OHLCV_FOB_CNN,PENDING
97,FR0000125486,SGEF.PA,OHLCV_FOB,LSTM,FR0000125486_OHLCV_FOB_LSTM,PENDING
98,FR0000125486,SGEF.PA,OHLCV_FOB,CNN_LSTM,FR0000125486_OHLCV_FOB_CNN_LSTM,PENDING
102,FR0000130577,PUBP.PA,FOB,CNN,FR0000130577_FOB_CNN,PENDING
103,FR0000130577,PUBP.PA,FOB,LSTM,FR0000130577_FOB_LSTM,PENDING
104,FR0000130577,PUBP.PA,FOB,CNN_LSTM,FR0000130577_FOB_CNN_LSTM,PENDING
105,FR0000130577,PUBP.PA,OHLCV_FOB,CNN,FR0000130577_OHLCV_FOB_CNN,PENDING
106,FR0000130577,PUBP.PA,OHLCV_FOB,LSTM,FR0000130577_OHLCV_FOB_LSTM,PENDING
107,FR0000130577,PUBP.PA,OHLCV_FOB,CNN_LSTM,FR0000130577_OHLCV_FOB_CNN_LSTM,PENDING
111,FR0000130809,SOGN.PA,FOB,CNN,FR0000130809_FOB_CNN,PENDING
112,FR0000130809,SOGN.PA,FOB,LSTM,FR0000130809_FOB_LSTM,PENDING
113,FR0000130809,SOGN.PA,FOB,CNN_LSTM,FR0000130809_FOB_CNN_LSTM,PENDING
114,FR0000130809,SOGN.PA,OHLCV_FOB,CNN,FR0000130809_OHLCV_FOB_CNN,PENDING
115,FR0000130809,SOGN.PA,OHLCV_FOB,LSTM,FR0000130809_OHLCV_FOB_LSTM,PENDING
116,FR0000130809,SOGN.PA,OHLCV_FOB,CNN_LSTM,FR0000130809_OHLCV_FOB_CNN_LSTM,PENDING
120,FR0000131906,RENA.PA,FOB,CNN,FR0000131906_FOB_CNN,PENDING
121,FR0000131906,RENA.PA,FOB,LSTM,FR0000131906_FOB_LSTM,PENDING
122,FR0000131906,RENA.PA,FOB,CNN_LSTM,FR0000131906_FOB_CNN_LSTM,PENDING
123,FR0000131906,RENA.PA,OHLCV_FOB,CNN,FR0000131906_OHLCV_FOB_CNN,PENDING
124,FR0000131906,RENA.PA,OHLCV_FOB,LSTM,FR0000131906_OHLCV_FOB_LSTM,PENDING
125,FR0000131906,RENA.PA,OHLCV_FOB,CNN_LSTM,FR0000131906_OHLCV_FOB_CNN_LSTM,PENDING
129,FR0010908533,EDEN.PA,FOB,CNN,FR0010908533_FOB_CNN,PENDING
130,FR0010908533,EDEN.PA,FOB,LSTM,FR0010908533_FOB_LSTM,PENDING
131,FR0010908533,EDEN.PA,FOB,CNN_LSTM,FR0010908533_FOB_CNN_LSTM,PENDING
132,FR0010908533,EDEN.PA,OHLCV_FOB,CNN,FR0010908533_OHLCV_FOB_CNN,PENDING
133,FR0010908533,EDEN.PA,OHLCV_FOB,LSTM,FR0010908533_OHLCV_FOB_LSTM,PENDING
134,FR0010908533,EDEN.PA,OHLCV_FOB,CNN_LSTM,FR0010908533_OHLCV_FOB_CNN_LSTM,PENDING
138,FR0011981968,WLN.PA,FOB,CNN,FR0011981968_FOB_CNN,PENDING
139,FR0011981968,WLN.PA,FOB,LSTM,FR0011981968_FOB_LSTM,PENDING
140,FR0011981968,WLN.PA,FOB,CNN_LSTM,FR0011981968_FOB_CNN_LSTM,PENDING
141,FR0011981968,WLN.PA,OHLCV_FOB,CNN,FR0011981968_OHLCV_FOB_CNN,PENDING
142,FR0011981968,WLN.PA,OHLCV_FOB,LSTM,FR0011981968_OHLCV_FOB_LSTM,PENDING
143,FR0011981968,WLN.PA,OHLCV_FOB,CNN_LSTM,FR0011981968_OHLCV_FOB_CNN_LSTM,PENDING
147,FR0014003TT8,DAST.PA,FOB,CNN,FR0014003TT8_FOB_CNN,PENDING
148,FR0014003TT8,DAST.PA,FOB,LSTM,FR0014003TT8_FOB_LSTM,PENDING
149,FR0014003TT8,DAST.PA,FOB,CNN_LSTM,FR0014003TT8_FOB_CNN_LSTM,PENDING
150,FR0014003TT8,DAST.PA,OHLCV_FOB,CNN,FR0014003TT8_OHLCV_FOB_CNN,PENDING
151,FR0014003TT8,DAST.PA,OHLCV_FOB,LSTM,FR0014003TT8_OHLCV_FOB_LSTM,PENDING
152,FR0014003TT8,DAST.PA,OHLCV_FOB,CNN_LSTM,FR0014003TT8_OHLCV_FOB_CNN_LSTM,PENDING
156,NL0000226223,STMPA.PA,FOB,CNN,NL0000226223_FOB_CNN,PENDING
157,NL0000226223,STMPA.PA,FOB,LSTM,NL0000226223_FOB_LSTM,PENDING
158,NL0000226223,STMPA.PA,FOB,CNN_LSTM,NL0000226223_FOB_CNN_LSTM,PENDING
159,NL0000226223,STMPA.PA,OHLCV_FOB,CNN,NL0000226223_OHLCV_FOB_CNN,PENDING
160,NL0000226223,STMPA.PA,OHLCV_FOB,LSTM,NL0000226223_OHLCV_FOB_LSTM,PENDING
161,NL0000226223,STMPA.PA,OHLCV_FOB,CNN_LSTM,NL0000226223_OHLCV_FOB_CNN_LSTM,PENDING
165,NL00150001Q9,STLAM.PA,FOB,CNN,NL00150001Q9_FOB_CNN,PENDING
166,NL00150001Q9,STLAM.PA,FOB,LSTM,NL00150001Q9_FOB_LSTM,PENDING
167,NL00150001Q9,STLAM.PA,FOB,CNN_LSTM,NL00150001Q9_FOB_CNN_LSTM,PENDING
168,NL00150001Q9,STLAM.PA,OHLCV_FOB,CNN,NL00150001Q9_OHLCV_FOB_CNN,PENDING
169,NL00150001Q9,STLAM.PA,OHLCV_FOB,LSTM,NL00150001Q9_OHLCV_FOB_LSTM,PENDING
170,NL00150001Q9,STLAM.PA,OHLCV_FOB,CNN_LSTM,NL00150001Q9_OHLCV_FOB_CNN_LSTM,PENDING
174,FR0000045072,CAGR.PA,FOB,CNN,FR0000045072_FOB_CNN,PENDING
175,FR0000045072,CAGR.PA,FOB,LSTM,FR0000045072_FOB_LSTM,PENDING
176,FR0000045072,CAGR.PA,FOB,CNN_LSTM,FR0000045072_FOB_CNN_LSTM,PENDING
177,FR0000045072,CAGR.PA,OHLCV_FOB,CNN,FR0000045072_OHLCV_FOB_CNN,PENDING
178,FR0000045072,CAGR.PA,OHLCV_FOB,LSTM,FR0000045072_OHLCV_FOB_LSTM,PENDING
179,FR0000045072,CAGR.PA,OHLCV_FOB,CNN_LSTM,FR0000045072_OHLCV_FOB_CNN_LSTM,PENDING
183,FR0000051807,TEPRF.PA,FOB,CNN,FR0000051807_FOB_CNN,PENDING
184,FR0000051807,TEPRF.PA,FOB,LSTM,FR0000051807_FOB_LSTM,PENDING
185,FR0000051807,TEPRF.PA,FOB,CNN_LSTM,FR0000051807_FOB_CNN_LSTM,PENDING
186,FR0000051807,TEPRF.PA,OHLCV_FOB,CNN,FR0000051807_OHLCV_FOB_CNN,PENDING
187,FR0000051807,TEPRF.PA,OHLCV_FOB,LSTM,FR0000051807_OHLCV_FOB_LSTM,PENDING
188,FR0000051807,TEPRF.PA,OHLCV_FOB,CNN_LSTM,FR0000051807_OHLCV_FOB_CNN_LSTM,PENDING
192,FR0000052292,HRMS.PA,FOB,CNN,FR0000052292_FOB_CNN,PENDING
193,FR0000052292,HRMS.PA,FOB,LSTM,FR0000052292_FOB_LSTM,PENDING
194,FR0000052292,HRMS.PA,FOB,CNN_LSTM,FR0000052292_FOB_CNN_LSTM,PENDING
195,FR0000052292,HRMS.PA,OHLCV_FOB,CNN,FR0000052292_OHLCV_FOB_CNN,PENDING
196,FR0000052292,HRMS.PA,OHLCV_FOB,LSTM,FR0000052292_OHLCV_FOB_LSTM,PENDING
197,FR0000052292,HRMS.PA,OHLCV_FOB,CNN_LSTM,FR0000052292_OHLCV_FOB_CNN_LSTM,PENDING
201,FR0000120073,AIRP.PA,FOB,CNN,FR0000120073_FOB_CNN,PENDING
202,FR0000120073,AIRP.PA,FOB,LSTM,FR0000120073_FOB_LSTM,PENDING
203,FR0000120073,AIRP.PA,FOB,CNN_LSTM,FR0000120073_FOB_CNN_LSTM,PENDING
204,FR0000120073,AIRP.PA,OHLCV_FOB,CNN,FR0000120073_OHLCV_FOB_CNN,PENDING
205,FR0000120073,AIRP.PA,OHLCV_FOB,LSTM,FR0000120073_OHLCV_FOB_LSTM,PENDING
206,FR0000120073,AIRP.PA,OHLCV_FOB,CNN_LSTM,FR0000120073_OHLCV_FOB_CNN_LSTM,PENDING
210,FR0000120172,CARR.PA,FOB,CNN,FR0000120172_FOB_CNN,PENDING
211,FR0000120172,CARR.PA,FOB,LSTM,FR0000120172_FOB_LSTM,PENDING
212,FR0000120172,CARR.PA,FOB,CNN_LSTM,FR0000120172_FOB_CNN_LSTM,PENDING
213,FR0000120172,CARR.PA,OHLCV_FOB,CNN,FR0000120172_OHLCV_FOB_CNN,PENDING
214,FR0000120172,CARR.PA,OHLCV_FOB,LSTM,FR0000120172_OHLCV_FOB_LSTM,PENDING
215,FR0000120172,CARR.PA,OHLCV_FOB,CNN_LSTM,FR0000120172_OHLCV_FOB_CNN_LSTM,PENDING
219,FR0000120503,BOUY.PA,FOB,CNN,FR0000120503_FOB_CNN,PENDING
220,FR0000120503,BOUY.PA,FOB,LSTM,FR0000120503_FOB_LSTM,PENDING
221,FR0000120503,BOUY.PA,FOB,CNN_LSTM,FR0000120503_FOB_CNN_LSTM,PENDING
222,FR0000120503,BOUY.PA,OHLCV_FOB,CNN,FR0000120503_OHLCV_FOB_CNN,PENDING
223,FR0000120503,BOUY.PA,OHLCV_FOB,LSTM,FR0000120503_OHLCV_FOB_LSTM,PENDING
224,FR0000120503,BOUY.PA,OHLCV_FOB,CNN_LSTM,FR0000120503_OHLCV_FOB_CNN_LSTM,PENDING
228,FR0000120628,AXAF.PA,FOB,CNN,FR0000120628_FOB_CNN,PENDING
229,FR0000120628,AXAF.PA,FOB,LSTM,FR0000120628_FOB_LSTM,PENDING
230,FR0000120628,AXAF.PA,FOB,CNN_LSTM,FR0000120628_FOB_CNN_LSTM,PENDING
231,FR0000120628,AXAF.PA,OHLCV_FOB,CNN,FR0000120628_OHLCV_FOB_CNN,PENDING
232,FR0000120628,AXAF.PA,OHLCV_FOB,LSTM,FR0000120628_OHLCV_FOB_LSTM,PENDING
233,FR0000120628,AXAF.PA,OHLCV_FOB,CNN_LSTM,FR0000120628_OHLCV_FOB_CNN_LSTM,PENDING
237,FR0000120644,DANO.PA,FOB,CNN,FR0000120644_FOB_CNN,PENDING
238,FR0000120644,DANO.PA,FOB,LSTM,FR0000120644_FOB_LSTM,PENDING
239,FR0000120644,DANO.PA,FOB,CNN_LSTM,FR0000120644_FOB_CNN_LSTM,PENDING
240,FR0000120644,DANO.PA,OHLCV_FOB,CNN,FR0000120644_OHLCV_FOB_CNN,PENDING
241,FR0000120644,DANO.PA,OHLCV_FOB,LSTM,FR0000120644_OHLCV_FOB_LSTM,PENDING
242,FR0000120644,DANO.PA,OHLCV_FOB,CNN_LSTM,FR0000120644_OHLCV_FOB_CNN_LSTM,PENDING
246,FR0000121014,LVMH.PA,FOB,CNN,FR0000121014_FOB_CNN,PENDING
247,FR0000121014,LVMH.PA,FOB,LSTM,FR0000121014_FOB_LSTM,PENDING
248,FR0000121014,LVMH.PA,FOB,CNN_LSTM,FR0000121014_FOB_CNN_LSTM,PENDING
249,FR0000121014,LVMH.PA,OHLCV_FOB,CNN,FR0000121014_OHLCV_FOB_CNN,PENDING
250,FR0000121014,LVMH.PA,OHLCV_FOB,LSTM,FR0000121014_OHLCV_FOB_LSTM,PENDING
251,FR0000121014,LVMH.PA,OHLCV_FOB,CNN_LSTM,FR0000121014_OHLCV_FOB_CNN_LSTM,PENDING
255,FR0000121667,ESLX.PA,FOB,CNN,FR0000121667_FOB_CNN,PENDING
256,FR0000121667,ESLX.PA,FOB,LSTM,FR0000121667_FOB_LSTM,PENDING
257,FR0000121667,ESLX.PA,FOB,CNN_LSTM,FR0000121667_FOB_CNN_LSTM,PENDING
258,FR0000121667,ESLX.PA,OHLCV_FOB,CNN,FR0000121667_OHLCV_FOB_CNN,PENDING
259,FR0000121667,ESLX.PA,OHLCV_FOB,LSTM,FR0000121667_OHLCV_FOB_LSTM,PENDING
260,FR0000121667,ESLX.PA,OHLCV_FOB,CNN_LSTM,FR0000121667_OHLCV_FOB_CNN_LSTM,PENDING
264,FR0000125338,CAPP.PA,FOB,CNN,FR0000125338_FOB_CNN,PENDING
265,FR0000125338,CAPP.PA,FOB,LSTM,FR0000125338_FOB_LSTM,PENDING
266,FR0000125338,CAPP.PA,FOB,CNN_LSTM,FR0000125338_FOB_CNN_LSTM,PENDING
267,FR0000125338,CAPP.PA,OHLCV_FOB,CNN,FR0000125338_OHLCV_FOB_CNN,PENDING
268,FR0000125338,CAPP.PA,OHLCV_FOB,LSTM,FR0000125338_OHLCV_FOB_LSTM,PENDING
269,FR0000125338,CAPP.PA,OHLCV_FOB,CNN_LSTM,FR0000125338_OHLCV_FOB_CNN_LSTM,PENDING
273,FR0000131104,BNPP.PA,FOB,CNN,FR0000131104_FOB_CNN,PENDING
274,FR0000131104,BNPP.PA,FOB,LSTM,FR0000131104_FOB_LSTM,PENDING
275,FR0000131104,BNPP.PA,FOB,CNN_LSTM,FR0000131104_FOB_CNN_LSTM,PENDING
276,FR0000131104,BNPP.PA,OHLCV_FOB,CNN,FR0000131104_OHLCV_FOB_CNN,PENDING
277,FR0000131104,BNPP.PA,OHLCV_FOB,LSTM,FR0000131104_OHLCV_FOB_LSTM,PENDING
278,FR0000131104,BNPP.PA,OHLCV_FOB,CNN_LSTM,FR0000131104_OHLCV_FOB_CNN_LSTM,PENDING
282,FR0000133308,ORAN.PA,FOB,CNN,FR0000133308_FOB_CNN,PENDING
283,FR0000133308,ORAN.PA,FOB,LSTM,FR0000133308_FOB_LSTM,PENDING
284,FR0000133308,ORAN.PA,FOB,CNN_LSTM,FR0000133308_FOB_CNN_LSTM,PENDING
285,FR0000133308,ORAN.PA,OHLCV_FOB,CNN,FR0000133308_OHLCV_FOB_CNN,PENDING
286,FR0000133308,ORAN.PA,OHLCV_FOB,LSTM,FR0000133308_OHLCV_FOB_LSTM,PENDING
287,FR0000133308,ORAN.PA,OHLCV_FOB,CNN_LSTM,FR0000133308_OHLCV_FOB_CNN_LSTM,PENDING
291,FR0010208488,ENGIE.PA,FOB,CNN,FR0010208488_FOB_CNN,PENDING
292,FR0010208488,ENGIE.PA,FOB,LSTM,FR0010208488_FOB_LSTM,PENDING
293,FR0010208488,ENGIE.PA,FOB,CNN_LSTM,FR0010208488_FOB_CNN_LSTM,PENDING
294,FR0010208488,ENGIE.PA,OHLCV_FOB,CNN,FR0010208488_OHLCV_FOB_CNN,PENDING
295,FR0010208488,ENGIE.PA,OHLCV_FOB,LSTM,FR0010208488_OHLCV_FOB_LSTM,PENDING
296,FR0010208488,ENGIE.PA,OHLCV_FOB,CNN_LSTM,FR0010208488_OHLCV_FOB_CNN_LSTM,PENDING
300,FR0010220475,ALSO.PA,FOB,CNN,FR0010220475_FOB_CNN,PENDING
301,FR0010220475,ALSO.PA,FOB,LSTM,FR0010220475_FOB_LSTM,PENDING
302,FR0010220475,ALSO.PA,FOB,CNN_LSTM,FR0010220475_FOB_CNN_LSTM,PENDING
303,FR0010220475,ALSO.PA,OHLCV_FOB,CNN,FR0010220475_OHLCV_FOB_CNN,PENDING
304,FR0010220475,ALSO.PA,OHLCV_FOB,LSTM,FR0010220475_OHLCV_FOB_LSTM,PENDING
305,FR0010220475,ALSO.PA,OHLCV_FOB,CNN_LSTM,FR0010220475_OHLCV_FOB_CNN_LSTM,PENDING
309,FR0010307819,LEGD.PA,FOB,CNN,FR0010307819_FOB_CNN,PENDING
310,FR0010307819,LEGD.PA,FOB,LSTM,FR0010307819_FOB_LSTM,PENDING
311,FR0010307819,LEGD.PA,FOB,CNN_LSTM,FR0010307819_FOB_CNN_LSTM,PENDING
312,FR0010307819,LEGD.PA,OHLCV_FOB,CNN,FR0010307819_OHLCV_FOB_CNN,PENDING
313,FR0010307819,LEGD.PA,OHLCV_FOB,LSTM,FR0010307819_OHLCV_FOB_LSTM,PENDING
314,FR0010307819,LEGD.PA,OHLCV_FOB,CNN_LSTM,FR0010307819_OHLCV_FOB_CNN_LSTM,PENDING
318,FR0013326246,URW.PA,FOB,CNN,FR0013326246_FOB_CNN,PENDING
319,FR0013326246,URW.PA,FOB,LSTM,FR0013326246_FOB_LSTM,PENDING
320,FR0013326246,URW.PA,FOB,CNN_LSTM,FR0013326246_FOB_CNN_LSTM,PENDING
321,FR0013326246,URW.PA,OHLCV_FOB,CNN,FR0013326246_OHLCV_FOB_CNN,PENDING
322,FR0013326246,URW.PA,OHLCV_FOB,LSTM,FR0013326246_OHLCV_FOB_LSTM,PENDING
323,FR0013326246,URW.PA,OHLCV_FOB,CNN_LSTM,FR0013326246_OHLCV_FOB_CNN_LSTM,PENDING
327,FR0014000MR3,EUFI.PA,FOB,CNN,FR0014000MR3_FOB_CNN,PENDING
328,FR0014000MR3,EUFI.PA,FOB,LSTM,FR0014000MR3_FOB_LSTM,PENDING
329,FR0014000MR3,EUFI.PA,FOB,CNN_LSTM,FR0014000MR3_FOB_CNN_LSTM,PENDING
330,FR0014000MR3,EUFI.PA,OHLCV_FOB,CNN,FR0014000MR3_OHLCV_FOB_CNN,PENDING
331,FR0014000MR3,EUFI.PA,OHLCV_FOB,LSTM,FR0014000MR3_OHLCV_FOB_LSTM,PENDING
332,FR0014000MR3,EUFI.PA,OHLCV_FOB,CNN_LSTM,FR0014000MR3_OHLCV_FOB_CNN_LSTM,PENDING
336,FR001400AJ45,MICP.PA,FOB,CNN,FR001400AJ45_FOB_CNN,PENDING
337,FR001400AJ45,MICP.PA,FOB,LSTM,FR001400AJ45_FOB_LSTM,PENDING
338,FR001400AJ45,MICP.PA,FOB,CNN_LSTM,FR001400AJ45_FOB_CNN_LSTM,PENDING
339,FR001400AJ45,MICP.PA,OHLCV_FOB,CNN,FR001400AJ45_OHLCV_FOB_CNN,PENDING
340,FR001400AJ45,MICP.PA,OHLCV_FOB,LSTM,FR001400AJ45_OHLCV_FOB_LSTM,PENDING
341,FR001400AJ45,MICP.PA,OHLCV_FOB,CNN_LSTM,FR001400AJ45_OHLCV_FOB_CNN_LSTM,PENDING
345,NL0000235190,AIR.PA,FOB,CNN,NL0000235190_FOB_CNN,PENDING
346,NL0000235190,AIR.PA,FOB,LSTM,NL0000235190_FOB_LSTM,PENDING
347,NL0000235190,AIR.PA,FOB,CNN_LSTM,NL0000235190_FOB_CNN_LSTM,PENDING
348,NL0000235190,AIR.PA,OHLCV_FOB,CNN,NL0000235190_OHLCV_FOB_CNN,PENDING
349,NL0000235190,AIR.PA,OHLCV_FOB,LSTM,NL0000235190_OHLCV_FOB_LSTM,PENDING
350,NL0000235190,AIR.PA,OHLCV_FOB,CNN_LSTM,NL0000235190_OHLCV_FOB_CNN_LSTM,PENDING
